protein1,weight1,protein2,weight2
IGF2,-0.080603441,KDR,-1.315089547
IGF2,-0.080603441,KIT,-1.127856621
IGF2,-0.080603441,MET,0.350709328
IGF2,-0.080603441,NGFR,2.02994455
IGF2,-0.080603441,NTRK1,0.185317797
IGF2,-0.080603441,NTRK2,1.856651425
IGF2,-0.080603441,PDGFRA,-0.430047797
IGF2,-0.080603441,PDGFRB,-0.714472727
IGF2,-0.080603441,TEK,-1.578838062
IKBKB,-0.453919195,NFKB1,-0.054238045
IKBKB,-0.453919195,RELA,-0.255131899
IKBKG,-0.232444307,NFKB1,-0.054238045
IKBKG,-0.232444307,RELA,-0.255131899
INS,NA,CSF1R,-2.05165169
INS,NA,EGFR,0.643740489
INS,NA,EPHA2,0.067132003
INS,NA,FGFR1,-0.015774318
INS,NA,FGFR2,2.204049045
INS,NA,FGFR3,1.019104537
INS,NA,FGFR4,-0.557650181
INS,NA,FLT1,1.434221911
INS,NA,FLT3,NA
INS,NA,FLT4,-0.198522555
INS,NA,IGF1R,0.344622854
INS,NA,INSR,1.392819227
INS,NA,KDR,-1.315089547
INS,NA,KIT,-1.127856621
INS,NA,MET,0.350709328
INS,NA,NGFR,2.02994455
INS,NA,NTRK1,0.185317797
INS,NA,NTRK2,1.856651425
INS,NA,PDGFRA,-0.430047797
INS,NA,PDGFRB,-0.714472727
INS,NA,TEK,-1.578838062
INSR,1.392819227,SHC1,-0.559849835
INSR,1.392819227,SHC2,0.151662673
INSR,1.392819227,SHC3,NA
INSR,1.392819227,SHC4,1.266013859
JUN,-0.241076412,CCND1,-0.500550066
JUN,-0.241076412,CCND2,1.664575146
JUN,-0.241076412,CCND3,-0.900601462
JUN,-0.241076412,DUSP1,0.279004652
JUN,-0.241076412,DUSP2,0.545631326
JUN,-0.241076412,DUSP3,NA
JUN,-0.241076412,DUSP4,1.164064626
JUN,-0.241076412,DUSP5,0.042545502
JUN,-0.241076412,DUSP6,NA
JUN,-0.241076412,MDM2,-0.455231261
JUN,-0.241076412,SPRY1,-0.599234165
JUN,-0.241076412,SPRY2,0.274190268
JUN,-0.241076412,SPRY3,-0.112897785
JUN,-0.241076412,SPRY4,-0.828993095
KDR,-1.315089547,SHC1,-0.559849835
KDR,-1.315089547,SHC2,0.151662673
KDR,-1.315089547,SHC3,NA
KDR,-1.315089547,SHC4,1.266013859
KIT,-1.127856621,SHC1,-0.559849835
KIT,-1.127856621,SHC2,0.151662673
KIT,-1.127856621,SHC3,NA
KIT,-1.127856621,SHC4,1.266013859
KITLG,0.117940395,CSF1R,-2.05165169
KITLG,0.117940395,EGFR,0.643740489
KITLG,0.117940395,EPHA2,0.067132003
KITLG,0.117940395,FGFR1,-0.015774318
KITLG,0.117940395,FGFR2,2.204049045
KITLG,0.117940395,FGFR3,1.019104537
KITLG,0.117940395,FGFR4,-0.557650181
KITLG,0.117940395,FLT1,1.434221911
KITLG,0.117940395,FLT3,NA
KITLG,0.117940395,FLT4,-0.198522555
KITLG,0.117940395,IGF1R,0.344622854
KITLG,0.117940395,INSR,1.392819227
KITLG,0.117940395,KDR,-1.315089547
KITLG,0.117940395,KIT,-1.127856621
KITLG,0.117940395,MET,0.350709328
KITLG,0.117940395,NGFR,2.02994455
KITLG,0.117940395,NTRK1,0.185317797
KITLG,0.117940395,NTRK2,1.856651425
KITLG,0.117940395,PDGFRA,-0.430047797
KITLG,0.117940395,PDGFRB,-0.714472727
KITLG,0.117940395,TEK,-1.578838062
KRAS,-0.276560051,AFDN,NA
KRAS,-0.276560051,BRAP,0.247843626
KRAS,-0.276560051,PIK3CA,-0.22837288
KRAS,-0.276560051,PIK3CB,-0.480031588
KRAS,-0.276560051,PIK3CD,1.780892457
KRAS,-0.276560051,PIK3R1,-0.926754402
KRAS,-0.276560051,PIK3R2,0.594173286
KRAS,-0.276560051,PIK3R3,-1.356576978
KRAS,-0.276560051,PLCE1,1.039105166
KRAS,-0.276560051,RAF1,0.06969736
KRAS,-0.276560051,RALBP1,0.22739864
KRAS,-0.276560051,RALGDS,0.905743152
KRAS,-0.276560051,RAPGEF5,0.120670352
