protein1,weight1,protein2,weight2
GNG4,2.3954388,RASGRF1,-0.117364431
GNG4,2.3954388,RASGRF2,-1.690754937
GNG5,-0.704057301,RASGRF1,-0.117364431
GNG5,-0.704057301,RASGRF2,-1.690754937
GNG7,0.26489202,RASGRF1,-0.117364431
GNG7,0.26489202,RASGRF2,-1.690754937
GNG8,NA,RASGRF1,-0.117364431
GNG8,NA,RASGRF2,-1.690754937
GNGT1,0,RASGRF1,-0.117364431
GNGT1,0,RASGRF2,-1.690754937
GNGT2,-0.558565369,RASGRF1,-0.117364431
GNGT2,-0.558565369,RASGRF2,-1.690754937
GRB2,0.051139361,GAB1,-0.355764734
GRB2,0.051139361,GAB2,0.804267652
GRB2,0.051139361,PTPN11,NA
GRB2,0.051139361,SOS1,-0.019445234
GRB2,0.051139361,SOS2,0.210979531
HGF,NA,CSF1R,-2.05165169
HGF,NA,EGFR,0.643740489
HGF,NA,EPHA2,0.067132003
HGF,NA,FGFR1,-0.015774318
HGF,NA,FGFR2,2.204049045
HGF,NA,FGFR3,1.019104537
HGF,NA,FGFR4,-0.557650181
HGF,NA,FLT1,1.434221911
HGF,NA,FLT3,NA
HGF,NA,FLT4,-0.198522555
HGF,NA,IGF1R,0.344622854
HGF,NA,INSR,1.392819227
HGF,NA,KDR,-1.315089547
HGF,NA,KIT,-1.127856621
HGF,NA,MET,0.350709328
HGF,NA,NGFR,2.02994455
HGF,NA,NTRK1,0.185317797
HGF,NA,NTRK2,1.856651425
HGF,NA,PDGFRA,-0.430047797
HGF,NA,PDGFRB,-0.714472727
HGF,NA,TEK,-1.578838062
HRAS,0.333133533,AFDN,NA
HRAS,0.333133533,BRAP,0.247843626
HRAS,0.333133533,PIK3CA,-0.22837288
HRAS,0.333133533,PIK3CB,-0.480031588
HRAS,0.333133533,PIK3CD,1.780892457
HRAS,0.333133533,PIK3R1,-0.926754402
HRAS,0.333133533,PIK3R2,0.594173286
HRAS,0.333133533,PIK3R3,-1.356576978
HRAS,0.333133533,PLCE1,1.039105166
HRAS,0.333133533,RAF1,0.06969736
HRAS,0.333133533,RALBP1,0.22739864
HRAS,0.333133533,RALGDS,0.905743152
HRAS,0.333133533,RAPGEF5,0.120670352
HRAS,0.333133533,RASSF1,0.788741829
HRAS,0.333133533,RASSF5,-0.447434291
HRAS,0.333133533,RGL1,-0.75800198
HRAS,0.333133533,RGL2,-0.297936955
HRAS,0.333133533,RIN1,0.256990062
HRAS,0.333133533,TIAM1,-0.803540494
HTR7,-0.178391755,GNB1,-0.091670406
HTR7,-0.178391755,GNB2,0.27262485
HTR7,-0.178391755,GNB3,0.881042291
HTR7,-0.178391755,GNB4,-0.433001416
HTR7,-0.178391755,GNB5,-0.345534433
HTR7,-0.178391755,GNG10,0.158298494
HTR7,-0.178391755,GNG11,-0.277972865
HTR7,-0.178391755,GNG12,-0.060897107
HTR7,-0.178391755,GNG13,0
HTR7,-0.178391755,GNG2,0.478653049
HTR7,-0.178391755,GNG3,0.217503324
HTR7,-0.178391755,GNG4,2.3954388
HTR7,-0.178391755,GNG5,-0.704057301
HTR7,-0.178391755,GNG7,0.26489202
HTR7,-0.178391755,GNG8,NA
HTR7,-0.178391755,GNGT1,0
HTR7,-0.178391755,GNGT2,-0.558565369
IGF1,NA,CSF1R,-2.05165169
IGF1,NA,EGFR,0.643740489
IGF1,NA,EPHA2,0.067132003
IGF1,NA,FGFR1,-0.015774318
IGF1,NA,FGFR2,2.204049045
IGF1,NA,FGFR3,1.019104537
IGF1,NA,FGFR4,-0.557650181
IGF1,NA,FLT1,1.434221911
IGF1,NA,FLT3,NA
IGF1,NA,FLT4,-0.198522555
IGF1,NA,IGF1R,0.344622854
IGF1,NA,INSR,1.392819227
IGF1,NA,KDR,-1.315089547
IGF1,NA,KIT,-1.127856621
IGF1,NA,MET,0.350709328
IGF1,NA,NGFR,2.02994455
IGF1,NA,NTRK1,0.185317797
IGF1,NA,NTRK2,1.856651425
IGF1,NA,PDGFRA,-0.430047797
IGF1,NA,PDGFRB,-0.714472727
IGF1,NA,TEK,-1.578838062
IGF1R,0.344622854,SHC1,-0.559849835
IGF1R,0.344622854,SHC2,0.151662673
IGF1R,0.344622854,SHC3,NA
IGF1R,0.344622854,SHC4,1.266013859
IGF2,-0.080603441,CSF1R,-2.05165169
IGF2,-0.080603441,EGFR,0.643740489
IGF2,-0.080603441,EPHA2,0.067132003
IGF2,-0.080603441,FGFR1,-0.015774318
IGF2,-0.080603441,FGFR2,2.204049045
IGF2,-0.080603441,FGFR3,1.019104537
IGF2,-0.080603441,FGFR4,-0.557650181
IGF2,-0.080603441,FLT1,1.434221911
IGF2,-0.080603441,FLT3,NA
IGF2,-0.080603441,FLT4,-0.198522555
IGF2,-0.080603441,IGF1R,0.344622854
IGF2,-0.080603441,INSR,1.392819227
